POI_num_200,Public Infrastructure_200,Commercial Services_200,Education and Health_200,Transport_200,Retail_200,Sport and Entertainment_200,"Accommodation, Eating and Drinking_200",Manufacturing and Production_200,Attractions_200,POI_mix_200,"Industrial, commercial, public, military and private units_200",Roads and railways_200,Urban residential areas_200,Green urban areas (including Sports and leisure facilities)_200,"Natural areas (Arable land, forests, herbaceous vegetation associations, pastures and water)_200","Other (Construction sites, land without current use, mineral extraction and dump sites and port areas)_200",landuse_mix_200,mean_age_200,median_age_200,population_density(persons/sq.km)_200,employment_density(persons/sq.km)_200,male_percent_200,white_percent_200,collegeDegree_percent_200,bicycle_percent(commute)_200,walk_percent(commute)_200,car_percent(commute)_200,motorway(km/sq.km)_200,majorRoad(km/sq.km)_200,secondaryRoad(km/sq.km)_200,localRoad(km/sq.km)_200,road,building,vegetation,car
58,-1.6625477377480489,-1.1700712526502546,-2.6741486494265287,-2.451005098112319,-1.8632184332102,-2.9618307218783095,-2.114532861491106,-4.060443010546419,0.0,-0.12142005684970189,-2.5246572216005045,-2.00303717588068,-0.3320975714339091,-2.6945609047594314,0.0,0.0,-0.44005140567617995,35.90712776527536,33.474936878719085,15364.499894044204,6869.9142058482585,-0.6720740339425384,-0.29138729415964326,-1.085161464163097,-4.801434056780869,-1.1557481626539334,-2.0501413047029113,0.0,0.0,3.5063100977062507,18.76850448020812,-1.1685666837787134,-1.5050029894787518,-1.3654264673556444,-5.080222274779669
51,-2.1400661634962708,-0.936093359170335,-1.9859154836690123,-3.2386784521643803,-3.2386784521643803,-2.322387720290225,-1.8523840910444898,-3.9318256327243257,0.0,-0.1777498222561078,-1.245794009507539,-1.1462717230084192,-0.9302169528085217,0.0,0.0,0.0,-0.008164882155615897,33.26197295701936,32.16240356849945,5405.1974056769295,1804.7601817575026,-0.6912913204006879,-0.33387468168200357,-1.3804468279074051,-5.545116768228046,-1.2567799281357241,-2.372265305404811,13.984656177417845,6.316152676198442,5.172157598015854,12.425687415328724,-1.2988101494862723,-1.8977818212435005,-1.4583715145413931,-2.2262769517301946
81,-1.8294997972109022,-0.8391010931830253,-2.0918640616783932,-2.6026896854443837,-2.7850112422383386,-3.7013019741124933,-2.4485390056171257,-3.295836866004329,0.0,-0.1989922880747847,-1.7565257132400982,-1.1681513005962778,-0.6608443531002863,0.0,0.0,0.0,-0.08632827929984244,29.671161156790447,26.88266386941489,5664.5896871138,2254.6622555987196,-0.6316725830863141,-0.3442507799340421,-0.9897513468256289,-4.9339356748143235,-0.9543280671009272,-2.1976693121065947,7.7928113155842285,6.28644840557413,5.184031546061635,16.30655974137722,-1.2053968874851475,-1.151001071054302,-3.1808904520971875,-4.5947772553181245
69,-2.1546649629174235,-0.8001193001121132,-2.2881963555419462,-2.4423470353692047,-2.624668592163159,-2.847812143477369,-2.2881963555419462,-4.23410650459726,0.0,-0.1999501324840536,-1.4723049478535308,-1.1616368427466632,-0.7816934351467583,0.0,0.0,0.0,-0.03669514730013294,30.575696263719877,28.23766212861296,4087.743475076662,1428.239963674743,-0.6457155683714396,-0.359885136773396,-1.1238209821295901,-5.048897877099257,-1.027155650060493,-2.3516431258714086,10.644320634368382,6.197669146927019,5.2968080853109765,15.525257743106305,-1.3454431272610274,-1.1193702332456807,-3.18658794959007,-3.918156236799725
136,-2.0794415416798357,-0.3483066942682157,-3.526360524616161,-3.526360524616161,-4.912654885736052,-3.526360524616161,-2.9667447366807385,-4.219507705176107,-4.912654885736052,-0.6883095861829198,-1.2447994119219148,-1.7103964683250321,-0.6631308342198151,-4.136949055218617,0.0,0.0,-0.25387449017924296,29.986007015037128,24.98302579631443,1315.8821545378755,603.3762743169947,-0.6477470849923075,-0.27898549038367554,-0.7400152086208028,-5.0272656652894625,-0.6565944049650636,-2.237560174402127,2.81880078866212,0.0,5.99633916032093,20.140382076446574,-1.1623105196734873,-0.9060296863136085,-2.6147897348270477,-3.3933321342273546
238,-2.1049748436850004,-0.5306282510621704,-2.7642204725692645,-3.392829131991639,-3.169685580677429,-3.392829131991639,-2.7642204725692645,-2.907321316209938,0.0,-0.36945364120767393,-1.4579793032078974,-1.3572168546178507,-0.67350560718976,0.0,0.0,0.0,-0.0625217453164633,27.794834693972856,23.537511546303783,2928.7340570729493,1029.995431489003,-0.7240448986679541,-0.3540574545019675,-0.8123621580980926,-4.4798815444953295,-0.5598751149897032,-2.6038118851954932,3.9107957900655848,3.705888413275848,6.144427023658184,17.964739717443074,-1.3591127331354949,-0.7334290071773037,-3.51531219459998,-3.6020559196518995
167,-2.409943611314545,-0.4358625852925354,-3.508555899982655,-2.8154087194227095,-3.3262343431887,-4.019381523748645,-2.284780468360539,-4.42484663185681,-5.1179938124167546,-0.5404112535913816,-1.2507028204015433,-1.6779755397602956,-0.6406594710114761,0.0,0.0,0.0,-0.08505091307825,29.938473502862767,26.807127733018213,4585.3745091110795,1864.7098475769546,-0.46875232682286855,-0.3074979470766862,-0.9999218204456455,-5.869740063483,-1.0719144669760947,-2.4254894959019664,1.0750142838716432,1.0353493614616158,8.065050752893637,21.9521093511263,-1.2035853847973454,-0.668669035727546,-7.017597521385145,-4.283082861172521
104,-2.005333569526114,-0.6013396313068224,-3.545778610473263,-2.4471663218051534,-3.951243718581427,-3.951243718581427,-2.005333569526114,-3.951243718581427,-4.6443908991413725,-0.41140046230108274,-0.986286977102131,-1.7882597621585836,-0.7769852175702942,0.0,0.0,0.0,-0.07015277851735409,29.75107037639503,27.781050323448337,5974.24994877318,2380.8291874208194,-0.46225183339231657,-0.2887648452444433,-1.057068951701028,-6.360490929391998,-1.1503143365680069,-2.3082971489027666,1.6232964694572902,3.386269641020744,5.090997865073464,17.01737505709066,-1.302967578245164,-0.6961390828007965,-3.6110321370038356,-4.3868710334088945
110,-1.927891643552635,-0.5260930958967791,-3.6018680771243066,-2.6210388241125804,-4.700480365792417,-3.6018680771243066,-2.3025850929940455,-4.700480365792417,-4.007333185232471,-0.4746037188071189,-1.112993862740927,-1.7752327879534884,-0.6891905654632774,0.0,0.0,0.0,-0.08166030804797403,30.33141051927696,27.695283673912268,5212.636807180897,1997.2623735110813,-0.44929013834592246,-0.2905676644305868,-1.1024170660202237,-6.282912427388049,-1.233923628866278,-2.324729741424761,2.294827459325161,1.7477321342585057,6.163292290548638,18.558716831754637,-1.2213761841144342,-0.7129907748258641,-3.244738903192749,-7.11574458252467
110,-1.927891643552635,-0.5260930958967791,-3.6018680771243066,-2.6210388241125804,-4.700480365792417,-3.6018680771243066,-2.3025850929940455,-4.700480365792417,-4.007333185232471,-0.4746037188071189,-1.1262391886366887,-1.7833927429697036,-0.6778987952566295,0.0,0.0,0.0,-0.0850183457344087,30.39376966786352,27.68067843383566,5136.825642234266,1961.09786485318,-0.44794530581133757,-0.2917410213179325,-1.1065976860105313,-6.275343501397891,-1.2417597254600687,-2.3341094451532145,2.318339843629877,1.521466217523464,6.329589127965747,18.633474519456662,-1.2213761841144342,-0.7129907748258641,-3.2447389031927485,-7.11574458252467
