POI_num_100,Public Infrastructure_100,Commercial Services_100,Education and Health_100,Transport_100,Retail_100,Sport and Entertainment_100,"Accommodation, Eating and Drinking_100",Manufacturing and Production_100,Attractions_100,POI_mix_100,"Industrial, commercial, public, military and private units_100",Roads and railways_100,Urban residential areas_100,Green urban areas (including Sports and leisure facilities)_100,"Natural areas (Arable land, forests, herbaceous vegetation associations, pastures and water)_100","Other (Construction sites, land without current use, mineral extraction and dump sites and port areas)_100",landuse_mix_100,mean_age_100,median_age_100,population_density(persons/sq.km)_100,employment_density(persons/sq.km)_100,male_percent_100,white_percent_100,collegeDegree_percent_100,bicycle_percent(commute)_100,walk_percent(commute)_100,car_percent(commute)_100,motorway(km/sq.km)_100,majorRoad(km/sq.km)_100,secondaryRoad(km/sq.km)_100,localRoad(km/sq.km)_100,road,building,vegetation,car
19.0,-2.2512917986064953,-0.747214401830221,-2.9444389791664407,-2.2512917986064953,-1.845826690498331,-2.9444389791664407,-2.9444389791664407,0.0,0.0,-0.20561392341774243,0.0,-1.9402337664622804,-0.16341635330758467,-4.948789673518046,0.0,0.0,-0.8867279298623072,35.066222965428274,33.37304036144276,17981.497276188784,7804.95242453991,-0.7284077350738407,-0.33512787440976355,-1.1665267384357279,-4.853536151663582,-1.2298339705307624,-2.206911044553973,0.0,0.0,6.343328619217067,15.563302756506307,-1.1685666837787134,-1.5050029894787518,-1.3654264673556444,-5.080222274779669
10.0,-1.6094379124341003,-0.6931471805599453,-1.6094379124341003,0.0,0.0,-2.3025850929940455,0.0,0.0,0.0,-0.12728576724310908,-1.5103589095485261,-0.7722374578408941,-1.1482514248305578,0.0,0.0,0.0,-0.0409759240007285,35.897211141550095,36.021988129107044,4527.415855735229,1169.460820221955,-0.6708843066432376,-0.3274579374007693,-1.6750535092400969,-4.790481291736606,-1.4339307338796452,-2.7722913779825533,21.61977161317263,12.121244014784255,9.834590685546932,11.016156526365158,-1.2988101494862723,-1.8977818212435005,-1.4583715145413931,-2.2262769517301946
6.0,0.0,-1.0986122886681098,-1.0986122886681098,0.0,0.0,0.0,-1.791759469228055,-1.791759469228055,0.0,-0.041709975088282135,-1.6819771121694134,-0.8192578822467552,-0.9855459930138709,0.0,0.0,0.0,-0.05310434785625065,26.87786505664241,23.90937061717361,3670.1473325578113,1213.4599676949765,-0.6348777538463706,-0.4197178812871509,-1.020078620862213,-4.997729794966341,-0.7974979678833348,-2.2745354957414365,12.402767966202028,12.077110104777384,10.024276710440835,9.47151337540578,-1.2053968874851475,-1.151001071054302,-3.1808904520971875,-4.5947772553181245
10.0,-2.3025850929940455,-0.35667494393873245,0.0,0.0,0.0,0.0,-2.3025850929940455,-2.3025850929940455,0.0,-0.3880331935504197,-2.0022982632528703,-0.7824975682713036,-0.8971925051539543,0.0,0.0,0.0,-0.10010298428425814,27.602126138647968,26.006780254667845,3265.5295267460274,975.9417639336957,-0.6677587291809306,-0.392995879145273,-1.2597605649167596,-4.823152239029437,-1.0472833814527616,-2.5024296882823447,11.890089505163706,11.477153833873949,12.83199605896432,9.673024876299268,-1.3454431272610274,-1.1193702332456807,-3.18658794959007,-3.918156236799725
41.0,-1.7676619176489945,-0.49469624183610705,-3.713572066704308,-3.713572066704308,0.0,-2.327277705584417,-3.713572066704308,-3.713572066704308,-3.713572066704308,-0.4826129663299117,-1.27057690477167,-1.716770134582103,-0.6167700506487372,0.0,0.0,0.0,-0.09616634877707363,30.799042600291248,24.754532851746532,631.8615135837111,288.9564954857826,-0.6378859797911198,-0.24618608885741536,-0.8437665047758993,-4.868094900824642,-0.7208032202449063,-2.350115194233855,2.5280693567673564,0.0,7.878310093410421,18.89370383383233,-1.1623105196734873,-0.9060296863136085,-2.6147897348270477,-3.3933321342273546
26.0,-1.466337068793427,-0.8602012652231115,-2.159484249353372,-2.5649493574615367,-2.159484249353372,0.0,-3.258096538021482,0.0,0.0,-0.1623357847329341,-0.9660532463756398,-1.7421627078025472,-0.8113080605196566,0.0,0.0,0.0,-0.0613558355089926,27.84099808323225,23.211794467350327,1182.3603059772975,530.5044240559866,-0.6337316089821294,-0.35845282261913575,-1.0409265478502545,-3.7959732822943244,-0.6356986842354928,-2.637317029608726,0.0,0.0,0.0,26.2818272235909,-1.3591127331354949,-0.7334290071773037,-3.51531219459998,-3.6020559196518995
41.0,-2.6149597780361984,-0.6225296133459919,-2.6149597780361984,-2.327277705584417,-3.713572066704308,0.0,-1.6341305250244718,0.0,0.0,-0.2807270538534038,-1.229003761878373,-1.6304431904739287,-0.6702645477477058,0.0,0.0,0.0,-0.07249513999562267,27.23678630164525,25.489211700150232,3704.814933629007,1900.430193701335,-0.6583465873623825,-0.3075397575163669,-0.5888069554054036,-5.159952695320011,-0.6174565497530276,-2.024211544760469,0.4336528610035146,0.0,9.158715568642236,25.444556482541042,-1.2035853847973454,-0.668669035727546,-7.017597521385145,-4.283082861172521
23.0,-1.7491998548092593,-0.9382696385929301,-2.4423470353692047,-1.5260563034950494,0.0,0.0,-2.4423470353692047,0.0,-3.1354942159291497,-0.13582940558951465,-0.6711788359880475,-2.114352292775208,-0.9991760149128186,0.0,0.0,0.0,-0.12848485412751476,30.775048085642627,29.646587560922512,7706.514959418922,2434.624279782435,-0.33215833011626733,-0.34430651250226996,-1.4611488025913641,-7.14508115114571,-1.8268923862066682,-2.769983430669432,2.085897684923723,0.0,4.932748876473179,24.26422839343433,-1.302967578245164,-0.6961390828007965,-3.6110321370038356,-4.3868710334088945
32.0,-2.367123614131617,-0.5212969236332861,-2.772588722239781,-2.0794415416798357,-3.4657359027997265,0.0,-2.367123614131617,0.0,0.0,-0.3247824010566418,-0.913574949280931,-1.8608198174589028,-0.8133573081263517,0.0,0.0,0.0,-0.07770124977869004,31.25504458198556,28.67909420976017,6434.049263068444,2396.1657656025322,-0.37850620790072265,-0.29395801099592306,-1.291598434512285,-6.4335262269738305,-1.4925222676564869,-2.5274651459773247,3.0383182299516154,0.0,8.718885538670198,19.97320510065088,-1.2213761841144342,-0.7129907748258641,-3.244738903192749,-7.11574458252467
32.0,-2.367123614131617,-0.5212969236332861,-2.772588722239781,-2.0794415416798357,-3.4657359027997265,0.0,-2.367123614131617,0.0,0.0,-0.3247824010566418,-0.9626243669828818,-1.7981652072400334,-0.7929496987259134,0.0,0.0,0.0,-0.07012360304437926,31.080665811626293,28.402850618850128,6383.423358234745,2407.862239037615,-0.38982173152448385,-0.2972016463621439,-1.2645131489884316,-6.356800795529216,-1.4520980546307223,-2.5063665128825026,3.027301396767754,0.0,9.984164126544322,19.512170552514934,-1.2213761841144342,-0.7129907748258641,-3.2447389031927485,-7.11574458252467
